,rank,finalWorth,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,gender,birthDate
798,787,3600000000,Vyacheslav Kim,53.0,Kazakhstan,Almaty,Fintech,Finance & Investments,Kazakhstan,True,M,1969-06-12 00:00:00
799,787,3600000000,Josh Kushner,37.0,United States,New York City,Venture capital,Finance & Investments,United States,True,M,1985-06-12 00:00:00
800,787,3600000000,Samuel Tak Lee,83.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,False,M,1939-04-09 00:00:00
801,787,3600000000,Edwin Leong,71.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,True,M,1951-12-04 00:00:00
802,787,3600000000,"Stephen Mandel, Jr.",67.0,United States,Greenwich,Hedge funds,Finance & Investments,United States,True,M,1956-03-12 00:00:00
803,787,3600000000,Mohamed Mansour,75.0,United Kingdom,London,Diversified,Diversified,Egypt,True,M,1948-01-23 00:00:00
804,787,3600000000,Masahiro Miki,67.0,Japan,Tokyo,Shoes,Fashion & Retail,Japan,True,M,1955-07-26 00:00:00
805,787,3600000000,Masahiro Noda,84.0,Japan,Tokyo,Software,Technology,Japan,True,M,1938-08-24 00:00:00
806,787,3600000000,Cliff Obrecht,37.0,Australia,Sydney,Software,Technology,Australia,True,M,1985-12-28 00:00:00
807,787,3600000000,Melanie Perkins,35.0,Australia,Sydney,Software,Technology,Australia,True,F,1987-05-13 00:00:00
808,787,3600000000,J.B. Pritzker,58.0,United States,Springfield,"Hotels, investments",Finance & Investments,United States,False,M,1965-01-19 00:00:00
809,787,3600000000,Juan Roig,73.0,Spain,Valencia,Supermarkets,Fashion & Retail,Spain,False,M,1949-10-08 00:00:00
810,787,3600000000,Jerry Speyer & family,82.0,United States,New York,Real estate,Real Estate,United States,True,M,1940-06-23 00:00:00
811,787,3600000000,Lawrence Stroll,63.0,Switzerland,Geneva,Fashion investments,Fashion & Retail,Canada,True,M,1959-07-11 00:00:00
812,787,3600000000,Tung Chee Chen,80.0,Hong Kong,Hong Kong,Shipping,Logistics,Hong Kong,False,M,1942-12-15 00:00:00
813,787,3600000000,Wang Junlin,60.0,China,Chengdu,Liquor,Food & Beverage,China,True,M,1962-09-01 00:00:00
814,787,3600000000,Xia Zuoquan,61.0,China,Shenzhen,"Automobiles, batteries",Automotive,China,True,M,1962-01-01 00:00:00
815,787,3600000000,Zeng Fangqin,57.0,China,Shenzhen,Smartphone components,Technology,China,True,F,1965-12-25 00:00:00
816,787,3600000000,Zhang Jian,54.0,China,Tianjin,"Electric bikes, scooters",Manufacturing,China,True,M,1969-01-01 00:00:00
817,818,3500000000,Rocco Basilico,33.0,United States,Los Angeles,Eyeglasses,Fashion & Retail,Italy,False,M,1989-07-11 00:00:00
818,818,3500000000,Maurizio Billi,65.0,Brazil,Sao Paulo,Generic drugs,Healthcare,Brazil,False,M,1957-11-22 00:00:00
819,818,3500000000,Fashu Chen,62.0,China,Fuzhou,Investments,Finance & Investments,China,True,M,1960-10-26 00:00:00
820,818,3500000000,Giuseppe Crippa & family,87.0,Italy,Cernusco Lombardone,Microchip testing,Manufacturing,Italy,True,M,1935-05-05 00:00:00
821,818,3500000000,Daniel D'Aniello,76.0,United States,Vienna,Private equity,Finance & Investments,United States,True,M,1946-09-14 00:00:00
822,818,3500000000,Claudio Del Vecchio,66.0,United States,Muttontown,Eyeglasses,Fashion & Retail,Italy,False,M,1957-02-26 00:00:00
823,818,3500000000,Clemente Del Vecchio,18.0,Italy,Milan,Eyeglases,Fashion & Retail,Italy,False,M,2004-05-06 00:00:00
824,818,3500000000,Leonardo Maria Del Vecchio,27.0,Italy,Milan,Eyeglasses,Fashion & Retail,Italy,False,M,1995-05-06 00:00:00
825,818,3500000000,Luca Del Vecchio,21.0,Italy,Milan,Eyeglasses,Fashion & Retail,Italy,False,M,2001-08-31 00:00:00
826,818,3500000000,Marisa Del Vecchio,64.0,Italy,Rome,Eyeglasses,Fashion & Retail,Italy,False,F,1958-07-10 00:00:00
827,818,3500000000,Paola Del Vecchio,61.0,Luxembourg,Luxembourg,Eyeglasses,Fashion & Retail,Italy,False,F,1961-05-14 00:00:00
828,818,3500000000,Walter P.J. Droege,70.0,Germany,Dusseldorf,Investing,Finance & Investments,Germany,True,M,1952-11-25 00:00:00
829,818,3500000000,Fan Daidi,57.0,China,Xian,Skincare,Fashion & Retail,China,True,F,1966-01-01 00:00:00
830,818,3500000000,Peter Gassner,58.0,United States,Pleasanton,Software,Technology,United States,True,M,1965-02-26 00:00:00
831,818,3500000000,Mikhail Gutseriev,65.0,Russia,Moscow,"Oil, coal, real estate",Energy,Russia,True,M,1958-03-09 00:00:00
832,818,3500000000,Patrick Lee,81.0,Hong Kong,Hong Kong,Paper,Manufacturing,Hong Kong,True,M,1942-01-01 00:00:00
833,818,3500000000,Leng Youbin,54.0,China,Beijing,Infant formula,Food & Beverage,China,True,M,1969-01-01 00:00:00
834,818,3500000000,Daniel Loeb,61.0,United States,New York,Hedge funds,Finance & Investments,United States,True,M,1961-12-18 00:00:00
835,818,3500000000,Margarita Louis-Dreyfus & family,60.0,Switzerland,Davos,Commodities,Food & Beverage,Switzerland,False,F,1962-06-01 00:00:00
836,818,3500000000,Prasert Prasarttong-Osoth,90.0,Thailand,Bangkok,Hospitals,Healthcare,Thailand,True,M,1933-03-26 00:00:00
837,818,3500000000,Ira Rennert,88.0,United States,New York,Investments,Finance & Investments,United States,True,M,1934-05-31 00:00:00
838,818,3500000000,Dirk Rossmann & family,76.0,Germany,Lower-Saxony,Drugstores,Fashion & Retail,Germany,True,M,1946-09-07 00:00:00
839,818,3500000000,Arkady Rotenberg,71.0,Russia,Moscow,"Construction, pipes, banking",Construction & Engineering,Russia,True,M,1951-12-15 00:00:00
840,818,3500000000,Remo Ruffini,61.0,Italy,Como,Winter jackets,Fashion & Retail,Italy,True,M,1961-08-27 00:00:00
841,818,3500000000,Karin Sartorius-Herbst,,Germany,Northeim,Biopharmaceuticals,Healthcare,Germany,False,F,
842,818,3500000000,Vivek Chaand Sehgal,66.0,India,Delhi,Auto parts,Automotive,Australia,True,M,1956-09-28 00:00:00
843,818,3500000000,Scott Shleifer,45.0,United States,New York,Private equity,Finance & Investments,United States,True,M,1977-06-14 00:00:00
844,818,3500000000,Thomas Siebel,70.0,United States,Woodside,Business software,Technology,United States,True,M,1952-11-22 00:00:00
845,818,3500000000,Wim van der Leegte & family,75.0,Netherlands,Eindhoven,Manufacturing,Manufacturing,Netherlands,False,M,1947-08-23 00:00:00
846,818,3500000000,Xiao Yongming & family,58.0,China,Beijing,Fertilizer,Diversified,China,True,M,1964-07-01 00:00:00
847,818,3500000000,Michael Xie,54.0,United States,Los Altos Hills,Cybersecurity,Technology,United States,True,M,1969-02-20 00:00:00
848,818,3500000000,Yang Shaopeng,65.0,China,Qingdao,Shipping,Logistics,China,True,M,1958-01-01 00:00:00
849,818,3500000000,Nicoletta Zampillo,65.0,Monaco,Monaco,Eyeglasses,Fashion & Retail,Italy,False,F,1958-03-28 00:00:00
850,818,3500000000,Barry Zekelman,56.0,Canada,Windsor,Steel,Manufacturing,Canada,False,M,1967-01-03 00:00:00
851,852,3400000000,William Ackman,56.0,United States,New York,Hedge funds,Finance & Investments,United States,True,M,1966-05-11 00:00:00
852,852,3400000000,Somphote Ahunai,55.0,Thailand,Bangkok,Renewable energy,Energy,Thailand,True,M,1967-06-01 00:00:00
853,852,3400000000,Igor Altushkin,52.0,Russia,Yekaterinburg,Metals,Metals & Mining,Russia,True,M,1970-09-10 00:00:00
854,852,3400000000,Ramon Ang,69.0,Philippines,Manila,Diversified,Food & Beverage,Philippines,True,M,1954-01-14 00:00:00
855,852,3400000000,Acharya Balkrishna,50.0,India,Haridwar,Consumer goods,Food & Beverage,India,True,M,1972-07-25 00:00:00
856,852,3400000000,Markus Blocher,52.0,Switzerland,Wilen bei Wollerau,Chemicals,Manufacturing,Switzerland,False,M,1971-01-01 00:00:00
857,852,3400000000,Richard Branson,72.0,British Virgin Islands,Necker Island,Virgin,Diversified,United Kingdom,True,M,1950-07-18 00:00:00
858,852,3400000000,Cho Jung-ho,64.0,South Korea,Seoul,Finance,Finance & Investments,South Korea,False,M,1958-10-05 00:00:00
859,852,3400000000,Alessandra Garavoglia,63.0,Italy,Milan,Spirits,Food & Beverage,Italy,False,F,1960-02-06 00:00:00
860,852,3400000000,Laurence Graff & family,84.0,Switzerland,Gstaad,Diamond jewelry,Fashion & Retail,United Kingdom,True,M,1938-06-13 00:00:00
861,852,3400000000,"Amos Hostetter, Jr.",86.0,United States,Boston,Cable television,Media & Entertainment,United States,True,M,1937-01-12 00:00:00
862,852,3400000000,Robert Johnson,75.0,United States,Palm Beach,"Johnson & Johnson, sports",Sports,United States,False,M,1947-04-12 00:00:00
863,852,3400000000,Steven Klinsky,66.0,United States,New York,Investments,Finance & Investments,United States,True,M,1956-05-30 00:00:00
864,852,3400000000,William Lauder,62.0,United States,New York,Estee Lauder,Fashion & Retail,United States,False,M,1960-04-11 00:00:00
865,852,3400000000,John Middleton,68.0,United States,Bryn Mawr,Tobacco,Food & Beverage,United States,False,M,1955-03-02 00:00:00
866,852,3400000000,Hiroshi Mikitani,58.0,Japan,Tokyo,Online retail,Fashion & Retail,Japan,True,M,1965-03-11 00:00:00
867,852,3400000000,Bob Parsons,72.0,United States,Scottsdale,Web hosting,Technology,United States,True,M,1950-11-27 00:00:00
868,852,3400000000,J. Joe Ricketts & family,81.0,United States,Little Jackson Hole,TD Ameritrade,Finance & Investments,United States,True,M,1941-07-16 00:00:00
869,852,3400000000,Herb Simon,88.0,United States,Indianapolis,Real estate,Real Estate,United States,True,M,1934-10-23 00:00:00
870,852,3400000000,Leena Tewari,65.0,India,Mumbai,Pharmaceuticals,Healthcare,India,False,F,1957-09-03 00:00:00
871,852,3400000000,Stefan von Holtzbrinck,59.0,Germany,Stuttgart,Publishing,Media & Entertainment,Germany,False,M,1963-05-15 00:00:00
872,852,3400000000,Hans Peter Wild,81.0,Switzerland,Zug,Flavorings,Food & Beverage,Switzerland,False,M,1941-06-16 00:00:00
873,852,3400000000,Wu Guanjiang & family,54.0,China,Chongqing,Pharmaceuticals,Healthcare,China,True,M,1968-12-21 00:00:00
874,852,3400000000,Yi Zheng,52.0,China,Hangzhou,Software,Technology,China,True,M,1970-10-15 00:00:00
875,852,3400000000,Eric Yuan & family,53.0,United States,Santa Clara,Zoom Video Communications,Technology,United States,True,M,1970-02-20 00:00:00
876,852,3400000000,Charles Zegar,75.0,United States,New York,Bloomberg LP,Media & Entertainment,United States,True,M,1948-02-29 00:00:00
877,878,3300000000,Mohed Altrad,75.0,France,Montpellier,"Scaffolding, cement mixers",Construction & Engineering,France,True,M,1948-03-09 00:00:00
878,878,3300000000,John Arnold,49.0,United States,Houston,Hedge funds,Finance & Investments,United States,True,M,1974-03-09 00:00:00
879,878,3300000000,Bill Austin,81.0,United States,Brownsville,Hearing aids,Manufacturing,United States,True,M,1942-02-25 00:00:00
880,878,3300000000,Chen Shibin,56.0,China,Lianyungang,Quartz products,Manufacturing,China,True,M,1966-11-01 00:00:00
881,878,3300000000,Bennett Dorrance,77.0,United States,Paradise Valley,Campbell Soup,Food & Beverage,United States,False,M,1946-02-09 00:00:00
882,878,3300000000,Walter Faria,68.0,Brazil,Rio de Janeiro,Beer,Food & Beverage,Brazil,True,M,1955-04-01 00:00:00
883,878,3300000000,Walter Frey,79.0,Switzerland,Küsnacht,Car dealerships,Automotive,Switzerland,False,M,1943-07-30 00:00:00
884,878,3300000000,Fu Liquan & family,55.0,China,Hangzhou,Surveillance equipment,Technology,China,True,M,1967-08-01 00:00:00
885,878,3300000000,John Gandel,88.0,Australia,Melbourne,Shopping malls,Real Estate,Australia,False,M,1934-08-13 00:00:00
886,878,3300000000,Peter Gilgan,72.0,Canada,Oakville,Homebuilding,Construction & Engineering,Canada,True,M,1951-01-01 00:00:00
887,878,3300000000,Kwek Leng Beng,82.0,Singapore,Singapore,Diversified,Diversified,Singapore,False,M,1941-01-01 00:00:00
888,878,3300000000,Pablo Legorreta,59.0,United States,Sag Harbor,Investments,Finance & Investments,United States,True,M,1963-10-30 00:00:00
889,878,3300000000,Arnon Milchan,78.0,Israel,Tel Aviv,Movie making,Media & Entertainment,Israel,True,M,1944-12-06 00:00:00
890,878,3300000000,Akio Nitori,79.0,Japan,Hokkaido,Home furnishings,Fashion & Retail,Japan,True,M,1944-03-05 00:00:00
891,878,3300000000,Julio Ponce Lerou,77.0,Chile,Santiago,Fertilizer,Metals & Mining,Chile,True,M,1945-11-13 00:00:00
892,878,3300000000,Rodger Riney & family,77.0,United States,St. Louis,Discount brokerage,Finance & Investments,United States,True,M,1946-01-01 00:00:00
893,878,3300000000,Phil Ruffin,88.0,United States,Las Vegas,"Casinos, real estate",Diversified,United States,True,M,1935-03-17 00:00:00
894,878,3300000000,Naguib Sawiris,68.0,Egypt,Cairo,Telecom,Telecom,Egypt,False,M,1954-06-15 00:00:00
895,878,3300000000,Neil Shen,55.0,China,Hong Kong,Venture capital,Finance & Investments,Hong Kong,True,M,1967-12-16 00:00:00
896,878,3300000000,Gil Shwed,54.0,Israel,Tel Aviv,Software,Technology,Israel,True,M,1968-06-12 00:00:00
897,878,3300000000,Stephen Smith,71.0,Canada,Toronto,Finance and investments,Finance & Investments,Canada,True,M,1951-06-02 00:00:00
898,878,3300000000,Nik Storonsky,38.0,United Kingdom,London,Fintech,Finance & Investments,United Kingdom,True,M,1984-07-21 00:00:00
899,878,3300000000,Jeffrey Talpins,48.0,United States,Larchmont,Hedge fund,Finance & Investments,United States,True,M,1975-03-06 00:00:00
900,878,3300000000,Carl Thoma,74.0,United States,Dallas,Investments,Finance & Investments,United States,True,M,1948-10-12 00:00:00
901,878,3300000000,Todd Wanek,59.0,United States,St. Petersburg,Furniture,Manufacturing,United States,False,M,1964-03-16 00:00:00
902,878,3300000000,Xue Hua,53.0,China,Guangzhou,Agribusiness,Manufacturing,China,True,M,
903,878,3300000000,Takao Yasuda,73.0,Singapore,Singapore,Retail,Fashion & Retail,Japan,True,M,1949-05-07 00:00:00
904,905,3200000000,Karen Virginia Beckmann Legoretta,53.0,,,Tequila,Food & Beverage,Mexico,False,F,
905,905,3200000000,Giuliana Benetton,85.0,Italy,Treviso,"Fashion retail, investments",Fashion & Retail,Italy,True,F,1937-07-08 00:00:00
906,905,3200000000,Luciano Benetton,87.0,Italy,Ponzano Veneto,"Fashion retail, investments",Fashion & Retail,Italy,True,M,1935-05-13 00:00:00
907,905,3200000000,Arun Bharat Ram,82.0,India,Delhi,Chemicals,Manufacturing,India,False,M,1940-11-15 00:00:00
908,905,3200000000,Ron Burkle,70.0,United Kingdom,London,"Supermarkets, investments",Finance & Investments,United States,True,M,1952-11-12 00:00:00
909,905,3200000000,Chen Kaixuan,64.0,China,Guangzhou,Household chemicals,Manufacturing,China,True,M,1958-05-01 00:00:00
910,905,3200000000,Brunello Cucinelli & family,69.0,Italy,Solomeo,Fashion,Fashion & Retail,Italy,True,M,1953-09-03 00:00:00
911,905,3200000000,Antonio Del Valle Ruiz & family,84.0,Mexico,Mexico City,Chemicals,Manufacturing,Mexico,True,M,1938-08-13 00:00:00
912,905,3200000000,Gustavo Denegri & family,86.0,Italy,torino,Biotech,Healthcare,Italy,True,M,1937-03-17 00:00:00
913,905,3200000000,Dong Jinggui,53.0,China,Wuxi,Electric scooters,Automotive,China,True,M,
914,905,3200000000,Charles Ergen,70.0,United States,Denver,Satellite TV,Media & Entertainment,United States,True,M,1953-03-01 00:00:00
915,905,3200000000,David Filo,56.0,United States,Palo Alto,Yahoo,Technology,United States,True,M,1966-04-15 00:00:00
916,905,3200000000,Lindsay Fox,85.0,Australia,Melbourne,"Logistics, real estate",Logistics,Australia,True,M,1937-04-19 00:00:00
917,905,3200000000,Sergei Galitsky,55.0,Russia,Krasnodar,Retail,Fashion & Retail,Russia,True,M,1967-08-14 00:00:00
918,905,3200000000,Senapathy Gopalakrishnan,67.0,India,Bangalore,Software services,Technology,India,True,M,1955-04-05 00:00:00
919,905,3200000000,Luciano Hang,60.0,Brazil,Brusque,Department stores,Fashion & Retail,Brazil,True,M,1962-10-11 00:00:00
920,905,3200000000,Michael Hintze,69.0,United Kingdom,London,Investment,Finance & Investments,Australia,True,M,1953-07-27 00:00:00
921,905,3200000000,Hu Baifan,60.0,China,Shaoxing,Pharmaceuticals,Healthcare,China,True,M,1962-10-01 00:00:00
922,905,3200000000,Hamilton James & family,71.0,United States,New York,Investments,Finance & Investments,United States,True,M,1951-08-03 00:00:00
923,905,3200000000,Lee Boo-jin,52.0,South Korea,Seoul,Samsung,Technology,South Korea,False,F,1970-10-06 00:00:00
924,905,3200000000,Li Liangbin,55.0,China,Xinyu,Lithium,Manufacturing,China,True,M,1967-09-01 00:00:00
925,905,3200000000,Liang Feng,54.0,China,Shanghai,Manufacturing,Manufacturing,China,True,M,1968-11-22 00:00:00
926,905,3200000000,Samir Mehta,59.0,India,Ahmedabad,"Pharmaceuticals, power",Healthcare,India,False,M,1963-09-18 00:00:00
927,905,3200000000,Sudhir Mehta,68.0,India,Ahmedabad,"Pharmaceuticals, power",Healthcare,India,False,M,1954-04-10 00:00:00
928,905,3200000000,Aristotelis Mistakidis,61.0,Switzerland,Zug,"Mining, commodities",Metals & Mining,Greece,True,M,1961-11-21 00:00:00
929,905,3200000000,Geoffrey Palmer,72.0,United States,Beverly Hills,Real estate,Real Estate,United States,False,M,1950-05-11 00:00:00
930,905,3200000000,Roger Penske,86.0,United States,Birmingham,Cars,Automotive,United States,True,M,1937-02-20 00:00:00
931,905,3200000000,Ravi Pillai,69.0,United Arab Emirates,Dubai,Construction,Construction & Engineering,India,True,M,1953-09-02 00:00:00
932,905,3200000000,David Rubenstein,73.0,United States,Bethesda,Private equity,Finance & Investments,United States,True,M,1949-08-11 00:00:00
933,905,3200000000,Hilton Schlosberg,70.0,United States,Irvine,Energy drinks,Food & Beverage,United Kingdom,True,M,1953-01-01 00:00:00
934,905,3200000000,Klaus-Peter Schulenberg,71.0,Germany,Bremen,Ticketing service,Service,Germany,True,M,1951-07-01 00:00:00
935,905,3200000000,Lynn Schusterman & family,84.0,United States,Tulsa,"Oil & gas, investments",Energy,United States,False,F,1939-01-21 00:00:00
936,905,3200000000,Isabella Seràgnoli,77.0,Italy,Bologna,Packaging,Manufacturing,Italy,False,F,1945-12-23 00:00:00
937,905,3200000000,Shen Guojun,60.0,China,Beijing,Retail,Fashion & Retail,China,True,M,1962-07-31 00:00:00
938,905,3200000000,Warren Stephens,66.0,United States,Little Rock,Investment banking,Finance & Investments,United States,False,M,1957-02-18 00:00:00
939,905,3200000000,Pat Stryker,66.0,United States,Fort Collins,Medical equipment,Healthcare,United States,False,F,1956-04-06 00:00:00
940,905,3200000000,Roman Trotsenko,52.0,Russia,Moscow,"Transport, engineering, real estate",Logistics,Russia,True,M,1970-09-12 00:00:00
941,905,3200000000,Harald Tschira,48.0,Germany,Heidelberg,Software,Technology,Germany,False,M,1974-04-25 00:00:00
942,905,3200000000,Udo Tschira,53.0,Germany,Wiesloch,Software,Technology,Germany,False,M,1969-09-17 00:00:00
943,905,3200000000,Vincent Viola,67.0,United States,New York,Electronic trading,Finance & Investments,United States,True,M,1956-02-12 00:00:00
944,905,3200000000,Wu Shaoxun,67.0,China,Daye,Wine,Food & Beverage,China,True,M,1956-01-01 00:00:00
945,905,3200000000,Steve Wynn,81.0,United States,Palm Beach,"Casinos, hotels",Gambling & Casinos,United States,True,M,1942-01-27 00:00:00
